lang,variant,id,f0_ref_mean,f0_syn_mean,F1_ref,F1_syn,jitter_ref,jitter_syn,prec_ASR,rec_ASR,f1_ASR,pesq
en,pure,en_krishna_023,122.46771640246666,145.03684575261323,585.4415989749198,667.4567005302761,0.038659986618804425,0.023301451329193555,0.0,1.0,0.0,1.0200469493865967
en,pure,en_krishna_024,126.73916531316915,135.62773840507128,606.4331891390533,787.5092849296499,0.04464785362254975,0.02940918507357534,0.0,1.0,0.0,1.0242629051208496
en,pure,en_krishna_025,127.72101399181373,138.24103352522272,654.4608259675626,807.6414229947264,0.03935695215975593,0.034051220127320245,0.0,1.0,0.0,1.0317578315734863
en,pure,en_krishna_026,134.6788156753646,131.0303971119341,647.3150829600278,727.8260752005352,0.02830925199914828,,1.0,1.0,1.0,1.0426007509231567
en,pure,en_krishna_027,134.49494536513052,166.71726491439043,673.1184216639158,614.4703683911634,0.024051932789473766,0.033615866644235645,0.0,1.0,0.0,1.0180094242095947
en,pure,en_krishna_028,132.14722190550395,145.15316566111343,762.4887246621686,828.4928450866214,0.03763450353334598,0.027737409590026525,0.0,1.0,0.0,1.059267282485962
en,pure,en_krishna_029,127.45942215240579,127.74393919715966,587.5807312089328,799.7866024726725,0.03295912320488338,0.02710578785240869,0.0,1.0,0.0,1.2016745805740356
en,pure,en_krishna_030,132.9562396395693,130.90690110962268,662.2239654561118,596.6207939419962,0.0415920739183034,0.02482024862727221,0.0,1.0,0.0,1.0325751304626465
en,pure,en_krishna_031,133.96332586662623,145.37240226746832,669.3763432760961,542.5307557988951,0.0336626148308788,0.0516100863256198,1.0,1.0,1.0,1.218521237373352
en,pure,en_krishna_032,138.59160728101224,144.2900425416436,616.4879905219311,632.6460963302596,0.035918093720577554,0.03220037528374213,1.0,1.0,1.0,1.024644374847412
en,pure,en_krishna_033,138.50659602154676,141.17608098471322,571.9853651673386,622.7592463514421,0.024948563635908253,0.033713580168075,0.0,1.0,0.0,1.0275568962097168
en,pure,en_krishna_034,133.36969579966512,138.22492523273982,1141.1512237786876,820.612486928732,0.03587333842692235,0.02303948023517602,1.0,1.0,1.0,1.0229188203811646
en,pure,en_krishna_035,137.15859044478975,137.68317556626124,774.5346749631992,574.3153459581291,0.03294478647341841,0.06409424282887266,1.0,1.0,1.0,1.0247721672058105
en,pure,en_krishna_036,132.23840329064512,147.62943547836568,778.4516527981542,758.3825782601796,0.0527078653315069,0.0347959930956332,0.0,1.0,0.0,1.4633679389953613
en,pure,en_krishna_037,124.67919853028451,138.89287985922962,861.6562236739366,726.3835454116783,0.062462309570579695,0.026620146448394597,0.0,1.0,0.0,1.9665460586547852
en,pure,en_krishna_038,124.07691496447836,149.68295278341958,624.0220465734787,550.783832525248,0.04642587947599932,0.0367326649685986,1.0,1.0,1.0,1.0501655340194702
en,pure,en_krishna_039,130.31837311698436,394.81208358878786,616.7973165348454,738.2177284449277,0.038410309305472186,,0.0,1.0,0.0,1.0435844659805298
en,pure,en_krishna_040,135.00983675869415,148.81131314780123,557.267382504233,642.5983598529161,0.039701446859989505,0.01930645116535265,1.0,1.0,1.0,1.0231024026870728
en,pure,en_krishna_041,131.9208090707028,136.01355306277108,776.8932559076018,789.9750276608113,0.05130005593873884,0.022649980554837572,0.0,1.0,0.0,1.02843177318573
en,pure,en_krishna_042,132.51151542514575,138.6976336681785,599.3437607589551,642.0460494415819,0.036594898772046185,0.0198995925493931,0.0,1.0,0.0,1.062377691268921
en,pure,en_krishna_043,132.71575035654206,130.68273567236804,660.5955387634457,754.2051378808466,0.04027921424171838,,1.0,0.0,0.0,1.0484362840652466
en,pure,en_krishna_044,136.25536343241262,126.75772759083844,624.7622009263026,773.0957345875339,0.03752949602316327,0.02526005263294761,0.0,1.0,0.0,1.0258580446243286
en,pure,en_krishna_045,121.79650115985095,140.06524333585315,696.3726157377897,691.4917049142072,0.04093924516795834,0.030665580721255026,0.0,1.0,0.0,1.0206822156906128
en,pure,en_krishna_046,141.32113264681237,130.74032241265047,658.7278686515164,612.7808795938923,0.029443446498932452,0.029787366026149644,0.0,1.0,0.0,1.3938409090042114
en,pure,en_krishna_048,135.45275222193527,137.00133297001747,633.8215263825423,607.8392544777447,0.039205182614552164,0.03612222946710674,0.0,1.0,0.0,1.513022541999817
en,pure,en_krishna_049,139.0517643919016,135.16398684880568,691.8809323580577,572.5472877883465,0.03976701566534456,0.03892886820186172,1.0,1.0,1.0,1.0541688203811646
en,pure,en_krishna_050,134.68443401533375,112.04340085435238,657.9626334772249,681.1598582033613,0.039746769008902984,0.02711098590621679,0.0,1.0,0.0,1.0377731323242188
en,pure,en_krishna_051,140.2515713699332,152.9606880132644,686.2626858649539,716.197026816954,0.03222323661904925,0.022835969778852352,0.0,1.0,0.0,1.0233057737350464
en,pure,en_krishna_052,144.61149669738347,140.47559062247797,500.8285141477925,613.0079516642771,0.037036195862893175,0.024085390516174743,0.0,1.0,0.0,1.0244545936584473
en,pure,en_krishna_053,146.9846358401178,156.15571892034768,619.5033067155099,873.6804713343532,0.032524885072472594,0.03967736487640624,0.0,1.0,0.0,1.0233770608901978
en,pure,en_krishna_054,134.8096220488041,134.28501385727128,697.312611055947,698.8971434549851,0.04299416636510959,0.02549744556275038,0.0,1.0,0.0,1.0819079875946045
en,pure,en_krishna_055,142.02203965089342,136.09029016246626,602.6405208040361,714.2465253725668,0.04071330316703691,0.0310252537411491,0.0,1.0,0.0,1.0438545942306519
en,pure,en_krishna_056,134.7246472362219,142.15090903729987,630.9106091054672,735.5457322362894,0.03378778108125299,0.031214016729642104,0.0,1.0,0.0,1.0275630950927734
en,pure,en_krishna_057,140.51098167415236,188.23217881364914,559.1269591985061,872.6830489794723,0.026582449563058427,0.08813681846394744,1.0,0.0,0.0,1.0478224754333496
en,pure,en_krishna_058,131.55119531259086,130.26315389649906,572.0385360107183,648.0871178058544,0.036444050623498855,0.03297491751814356,0.0,1.0,0.0,1.053485631942749
en,pure,en_krishna_059,144.29459751942048,,712.6804018822828,754.722638884501,0.03735811667359938,0.13380205271544232,1.0,1.0,1.0,1.0422135591506958
en,pure,en_krishna_060,138.95521964835035,231.9158811595329,622.0620578216613,1021.0462382580698,0.03093698526483132,,1.0,0.0,0.0,1.0445246696472168
en,pure,en_krishna_061,133.819791157994,134.26886522089563,672.0317796319317,799.0061330984528,0.035173249216197196,0.025782186837466543,0.0,1.0,0.0,1.0348995923995972
en,pure,en_krishna_062,125.07888644265714,136.27004104999094,668.2780906355629,721.9690404400992,0.028845430527349798,0.026563381491461348,1.0,1.0,1.0,1.0199898481369019
en,pure,en_krishna_063,138.36852239159083,123.12377839007685,623.6300462767051,737.7460776369848,0.03763183429601761,0.03556452008415415,0.0,1.0,0.0,1.035014033317566
en,pure,en_krishna_064,138.10395920063613,142.000213635629,562.2520461080629,745.847774347106,0.03394944522748332,0.021402387305525565,1.0,1.0,1.0,1.163132905960083
en,pure,en_krishna_065,138.21707487713223,134.96146805771963,527.8181149495841,755.549197070837,0.02938915927757411,0.02855924611538641,1.0,1.0,1.0,1.0193595886230469
