lang,variant,id,f0_ref_mean,f0_syn_mean,F1_ref,F1_syn,jitter_ref,jitter_syn,wer,pesq
jp,original,jp_krishna_019,136.25499448290216,138.3429048870529,580.5063789094753,657.8647478642598,0.025603371137080836,0.0188024684168594,1.0,1.0526363849639893
jp,original,jp_krishna_020,129.937827488507,183.6932784185462,686.7464159924315,741.5019275948467,0.024977386302329603,0.027466569672057486,1.0,1.0243245363235474
jp,pure,jp_krishna_001,132.11541470501663,148.58977998390012,587.1061516980789,686.381661297975,0.029229543736047126,0.027532925034557832,1.0,1.0308855772018433
jp,pure,jp_krishna_002,131.19017591966002,128.8437713233987,641.275653594587,749.4146298562758,0.03111628771051484,0.021177466347147973,1.0,1.028817057609558
jp,pure,jp_krishna_003,142.7232438971862,133.77593330151495,630.9333931838689,868.9913428581103,0.0345527463467557,0.021611604058930443,1.0,1.0368103981018066
jp,pure,jp_krishna_004,123.0496945692795,125.81837268715208,635.0709343918297,707.3261042512084,0.03591154882452529,0.03291928139474889,1.0,1.0265532732009888
jp,pure,jp_krishna_005,139.03430266374951,94.40478995721139,597.4408975703876,659.5199262351439,0.034243611087650117,0.09915050415706478,1.0,1.050635576248169
jp,pure,jp_krishna_006,146.93882599719578,124.13200137442777,650.9508612913236,815.5695580297066,0.026871240034007118,0.03942796355063214,1.0,1.0466184616088867
jp,pure,jp_krishna_007,148.95924549015388,136.4734788641067,770.3616168454465,784.5488063528494,0.06256387465168939,0.028890594759778128,5.0,1.0395474433898926
jp,pure,jp_krishna_008,132.0114459513603,134.81736323887532,617.6578657952184,516.294560654126,0.03147772070364337,0.04068305644108057,1.0,1.0317981243133545
jp,pure,jp_krishna_009,135.97946981232826,122.64602806147347,511.4220161558583,699.5968730954824,0.038799990168518164,0.03472186316618966,1.0,1.2761012315750122
jp,pure,jp_krishna_010,135.92887694678586,127.82558251319348,628.8295503868386,671.1343295631762,0.03483678367171489,0.029178769174405504,1.0,1.0480526685714722
jp,pure,jp_krishna_011,135.56510250337462,136.75796589493564,575.5158124849527,600.1117774891558,0.03165805001723364,0.03162712540177563,1.0,1.1418416500091553
jp,pure,jp_krishna_012,138.72423503567916,,731.818763674064,656.023728976267,0.03236334991703947,,2.0,1.0427888631820679
jp,pure,jp_krishna_013,141.65087466264308,137.78871845309843,740.2217822271842,582.6838543888141,0.026114264617628925,0.021694530195753545,1.0,1.2527976036071777
jp,pure,jp_krishna_014,145.02514595995382,138.48467742114897,571.1151466278527,598.5712430919117,0.0191359635835529,0.027224141357114314,1.0,1.2062196731567383
jp,pure,jp_krishna_015,134.62297126261245,,697.4600354285194,527.4223843720389,0.024644325669326575,0.08369640829136378,2.0,1.0501182079315186
jp,pure,jp_krishna_016,135.0831161195463,139.3716274568774,572.6578569256134,548.8584249815724,0.022841413243206297,0.03138491028959144,1.0,1.0803114175796509
